"filename", "language", "JSON", "HTML", "TypeScript", "TOML", "Markdown", "JSON with Comments", "YAML", "Rust", "JavaScript", "PowerShell", "vue", "PostCSS", "XML", "comment", "blank", "total"
"c:\Users\steve\OneDrive\Desktop\Nova_A\src-tauri\build.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\steve\OneDrive\Desktop\Nova_A\src-tauri\capabilities\default.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\steve\OneDrive\Desktop\Nova_A\src-tauri\src\lib.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 994, 0, 0, 0, 0, 0, 0, 57, 1051
"c:\Users\steve\OneDrive\Desktop\Nova_A\src-tauri\src\main.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 2, 7
"c:\Users\steve\OneDrive\Desktop\Nova_A\src-tauri\tauri.conf.json", "JSON", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\App.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 4, 32
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\PlayerApp.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 7, 68
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\assets\AssetDatabase.ts", "TypeScript", 0, 0, 533, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 34, 569
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\assets\TextureAtlas.ts", "TypeScript", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 82
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\assets\assetGraph.ts", "TypeScript", 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 95
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\assets\icons\addLayer.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 5, 12
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\assets\icons\arrow.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 5, 12
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\assets\icons\color.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 5, 12
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\assets\icons\layers.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 5, 12
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\assets\icons\pictures.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 5, 12
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\assets\icons\play.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 5, 12
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\assets\icons\render.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 5, 12
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\assets\icons\reset.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 5, 12
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\assets\icons\scene.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 5, 12
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\assets\icons\settings.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 5, 12
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\assets\icons\stop.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 5, 12
